video_path,t_start,t_end,toy_in_environment,parent_holding_toy,child_holding_toy,child_hand_action,child_proximity_behavior,current_toy,adult_hand_action,child_pose,adult_pose
data/28_side_cut.mp4,279.0,282.0,yes,yes,yes,manipulating toy,close and facing toward adult,elephant,holding toy,sitting still,sitting
data/28_side_cut.mp4,282.0,285.0,yes,yes,yes,holding toy still,close and facing toward adult,elephant,holding toy,sitting still,sitting
data/28_side_cut.mp4,285.0,288.0,yes,yes,yes,holding toy still,close and facing toward adult,yellow toy,holding toy,sitting still,sitting
data/28_side_cut.mp4,288.0,291.0,yes,yes,no,resting,close and facing toward adult,none,holding toy,standing still,sitting
data/28_side_cut.mp4,291.0,294.0,yes,yes,no,resting,close and facing toward adult,none,pointing,standing still,sitting
data/28_side_cut.mp4,294.0,297.0,no,no,no,none,close and facing toward adult,none,resting,standing still,sitting
data/28_side_cut.mp4,297.0,300.0,no,no,no,none,close and facing toward adult,none,resting,standing still,sitting
data/28_side_cut.mp4,300.0,303.0,no,no,no,none,close and facing toward adult,none,resting,sitting still,sitting
data/28_side_cut.mp4,303.0,306.0,yes,yes,no,resting,close and facing toward adult,none,holding toy,sitting still,sitting
data/28_side_cut.mp4,306.0,309.0,no,no,no,resting,close and facing toward adult,none,holding paper,sitting still,sitting
data/28_side_cut.mp4,309.0,312.0,no,no,yes,holding toy still,close and facing toward adult,none,holding paper,sitting still,sitting
data/28_side_cut.mp4,312.0,315.0,no,no,no,resting,close and facing toward adult,none,resting,sitting still,sitting
data/28_side_cut.mp4,315.0,318.0,no,no,yes,holding toy still,close and facing toward adult,none,opening a box or bag,standing still,sitting
data/28_side_cut.mp4,318.0,321.0,yes,yes,no,resting,close and facing toward adult,none,unknown,sitting still,sitting
data/28_side_cut.mp4,321.0,324.0,yes,yes,yes,holding toy still,close and facing toward adult,green toy,holding paper,sitting still,sitting
data/28_side_cut.mp4,324.0,327.0,yes,yes,no,resting,close and facing toward adult,none,pointing,sitting still,sitting
data/28_side_cut.mp4,327.0,330.0,yes,yes,no,resting,close and facing toward adult,none,holding toy,sitting still,sitting
data/28_side_cut.mp4,330.0,333.0,yes,yes,yes,pointing,close and facing toward adult,green toy,pointing,sitting still,sitting
data/28_side_cut.mp4,333.0,336.0,yes,yes,yes,giving away the toy,close and facing toward adult,green toy,unknown,sitting still,sitting
data/28_side_cut.mp4,336.0,339.0,yes,yes,no,resting,close and facing toward adult,none,holding toy,sitting still,sitting
data/27_side_cut.mp4,339.0,342.0,yes,yes,no,unknown,close and facing toward adult,green toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,342.0,345.0,yes,yes,yes,holding toy still,close and facing toward adult,green toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,345.0,348.0,yes,yes,yes,holding toy still,close and facing toward adult,green toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,348.0,351.0,yes,yes,yes,holding toy still,close and facing toward adult,green toy,holding toy,sitting still,sitting
data/27_side_cut.mp4,351.0,354.0,yes,yes,yes,holding toy still,close and facing toward adult,green toy,holding toy,sitting still,sitting
